toi,tid,coverage_status,product_count,sectors,error
1695.01,422756130,available,11,TESS Sector 18;TESS Sector 19;TESS Sector 24;TESS Sector 25;TESS Sector 52;TESS Sector 58;TESS Sector 59;TESS Sector 78;TESS Sector 79;TESS Sector 85;TESS Sector 86,
1696.01,470381900,available,2,TESS Sector 19;TESS Sector 59,
1700.01,23650642,available,1,TESS Sector 47,
1702.01,371210825,available,6,TESS Sector 44;TESS Sector 45;TESS Sector 46;TESS Sector 47;TESS Sector 71;TESS Sector 72,
1704.01,95129101,available,6,TESS Sector 44;TESS Sector 45;TESS Sector 46;TESS Sector 47;TESS Sector 71;TESS Sector 72,
1705.01,137500798,available,7,TESS Sector 40;TESS Sector 47;TESS Sector 53;TESS Sector 59;TESS Sector 60;TESS Sector 73;TESS Sector 74,
1707.01,240148934,available,3,TESS Sector 43;TESS Sector 44;TESS Sector 45,
171.02,309257814,available,16,TESS Sector 10;TESS Sector 28;TESS Sector 31;TESS Sector 35;TESS Sector 36;TESS Sector 37;TESS Sector 38;TESS Sector 61;TESS Sector 62;TESS Sector 63;TESS Sector 64;TESS Sector 68;TESS Sector 88;TESS Sector 89;TESS Sector 90;TESS Sector 95,
1710.01,445805961,available,9,TESS Sector 19;TESS Sector 20;TESS Sector 26;TESS Sector 40;TESS Sector 53;TESS Sector 59;TESS Sector 60;TESS Sector 73;TESS Sector 79,
1711.01,461662295,available,3,TESS Sector 20;TESS Sector 47;TESS Sector 60,
1712.01,67926921,available,1,TESS Sector 47,
1715.01,142090065,available,11,TESS Sector 19;TESS Sector 20;TESS Sector 25;TESS Sector 26;TESS Sector 40;TESS Sector 52;TESS Sector 53;TESS Sector 59;TESS Sector 60;TESS Sector 79;TESS Sector 86,
1716.01,14336130,available,4,TESS Sector 20;TESS Sector 47;TESS Sector 60;TESS Sector 73,
172.01,29857954,available,4,TESS Sector 28;TESS Sector 68;TESS Sector 92;TESS Sector 95,
1723.01,71431780,available,5,TESS Sector 20;TESS Sector 26;TESS Sector 47;TESS Sector 73;TESS Sector 74,
1724.01,81212286,available,3,TESS Sector 20;TESS Sector 47;TESS Sector 74,
1726.01,130181866,available,6,TESS Sector 20;TESS Sector 44;TESS Sector 45;TESS Sector 46;TESS Sector 47;TESS Sector 72,
1726.02,130181866,available,6,TESS Sector 20;TESS Sector 44;TESS Sector 45;TESS Sector 46;TESS Sector 47;TESS Sector 72,
1728.01,285048486,available,3,TESS Sector 20;TESS Sector 47;TESS Sector 74,
1729.01,298666530,available,36,TESS Sector 16;TESS Sector 17;TESS Sector 18;TESS Sector 19;TESS Sector 20;TESS Sector 21;TESS Sector 22;TESS Sector 23;TESS Sector 24;TESS Sector 25;TESS Sector 26;TESS Sector 40;TESS Sector 41;TESS Sector 47;TESS Sector 48;TESS Sector 49;TESS Sector 50;TESS Sector 51;TESS Sector 52;TESS Sector 53;TESS Sector 55;TESS Sector 56;TESS Sector 57;TESS Sector 58;TESS Sector 59;TESS Sector 60;TESS Sector 73;TESS Sector 75;TESS Sector 77;TESS Sector 78;TESS Sector 80;TESS Sector 82;TESS Sector 83;TESS Sector 84;TESS Sector 85;TESS Sector 86,
1730.01,318022259,available,3,TESS Sector 20;TESS Sector 47;TESS Sector 60,
1730.02,318022259,available,3,TESS Sector 20;TESS Sector 47;TESS Sector 60,
1730.03,318022259,available,3,TESS Sector 20;TESS Sector 47;TESS Sector 60,
1733.01,53427308,available,1,TESS Sector 47,
1736.01,408618999,available,8,TESS Sector 18;TESS Sector 19;TESS Sector 25;TESS Sector 52;TESS Sector 58;TESS Sector 59;TESS Sector 79;TESS Sector 86,
1739.01,159418353,available,17,TESS Sector 14;TESS Sector 19;TESS Sector 20;TESS Sector 21;TESS Sector 25;TESS Sector 26;TESS Sector 40;TESS Sector 41;TESS Sector 47;TESS Sector 52;TESS Sector 53;TESS Sector 59;TESS Sector 73;TESS Sector 74;TESS Sector 75;TESS Sector 79;TESS Sector 86,
174.01,425997655,available,15,TESS Sector 01;TESS Sector 02;TESS Sector 03;TESS Sector 04;TESS Sector 11;TESS Sector 29;TESS Sector 30;TESS Sector 31;TESS Sector 34;TESS Sector 64;TESS Sector 68;TESS Sector 69;TESS Sector 95;TESS Sector 96;TESS Sector 97,
174.02,425997655,available,15,TESS Sector 01;TESS Sector 02;TESS Sector 03;TESS Sector 04;TESS Sector 11;TESS Sector 29;TESS Sector 30;TESS Sector 31;TESS Sector 34;TESS Sector 64;TESS Sector 68;TESS Sector 69;TESS Sector 95;TESS Sector 96;TESS Sector 97,
174.03,425997655,available,15,TESS Sector 01;TESS Sector 02;TESS Sector 03;TESS Sector 04;TESS Sector 11;TESS Sector 29;TESS Sector 30;TESS Sector 31;TESS Sector 34;TESS Sector 64;TESS Sector 68;TESS Sector 69;TESS Sector 95;TESS Sector 96;TESS Sector 97,
174.04,425997655,available,15,TESS Sector 01;TESS Sector 02;TESS Sector 03;TESS Sector 04;TESS Sector 11;TESS Sector 29;TESS Sector 30;TESS Sector 31;TESS Sector 34;TESS Sector 64;TESS Sector 68;TESS Sector 69;TESS Sector 95;TESS Sector 96;TESS Sector 97,
