toi,tid,tfopwg_disp,pl_orbper,pl_tranmid,toi_created,rowupdate,ra,dec,st_tmag,st_teff,st_rad
"1049.01",16288184,"KP",2.1805333,2458626.8015460,"2019-07-15 19:20:04","2026-01-15 16:00:02",253.7688480,-28.7105840,11.0657000,6599.0000000,1.2714601
"105.01",144065872,"KP",2.1846669,2460904.4126750,"2018-09-05 18:49:20","2026-04-08 16:00:02",337.4578240,-48.0030990,9.4995000,5630.0000000,1.2382400
"1050.01",66818296,"KP",3.7354838,2459355.5456300,"2019-07-15 19:20:05","2022-10-05 10:10:01",239.9622480,-28.0617940,11.0261000,6650.0000000,1.5700000
"1051.01",259863352,"FA",21.7016690,2458657.7366250,"2019-08-16 20:20:45","2024-09-17 10:08:02",40.3659390,-71.4627490,7.1278000,5625.0000000,1.5648600
"1052.01",317060587,"CP",9.1398040,2458332.9412290,"2019-08-16 20:20:47","2023-07-24 12:03:31",337.5102740,-75.6465610,9.0197000,5958.2000000,1.5800000
"1053.01",112395568,"FP",5.7426250,2458657.9991790,"2019-08-16 20:20:42","2024-09-19 10:08:01",290.9771170,-33.3514160,8.8849000,5664.0000000,3.8695900
"1054.01",366989877,"CP",15.5077855,2460122.7001390,"2019-08-16 20:20:48","2023-09-14 16:02:01",302.1141740,-54.3175010,8.4362000,6122.0000000,1.1700000
"1055.01",320004517,"CP",17.4713078,2458661.0627110,"2019-08-16 20:20:47","2024-10-01 10:08:01",293.2866150,-54.5327280,8.0888000,5783.5400000,0.9746690
"1056.01",421894914,"PC",5.3079507,2458326.0624240,"2019-08-16 20:20:50","2024-03-14 16:54:32",339.2587030,-76.9176050,9.6663000,6124.3000000,1.3696300
"1057.01",323132914,"PC",51.1701501,2458607.3509010,"2019-08-16 20:20:47","2024-12-05 16:02:02",127.9969170,-78.4075640,9.4091000,5599.0000000,0.9433560
"1058.01",31553893,"PC",11.1296441,2458663.0231290,"2019-08-16 20:20:41","2024-04-25 10:08:01",288.9117720,-31.7908130,9.3781000,5785.0000000,3.4475601
"1059.01",380783252,"PC",9.4496506,2460106.3375190,"2019-08-16 20:20:49","2023-10-16 16:02:02",269.7145030,-60.9227270,9.7825000,5509.0000000,0.9400000
