toi,tid,tfopwg_disp,pl_orbper,pl_tranmid,toi_created,rowupdate,ra,dec,st_tmag,st_teff,st_rad
548.01,42821097,KP,3.8971203,2459205.242785,2019-03-28 00:07:14,2021-12-02 10:10:02,97.033598,-0.170729,13.1861,6090.0,1.6395
551.01,192826603,KP,2.6473051,2459203.149174,2019-06-06 20:53:59,2021-12-02 16:02:01,82.714213,-36.630981,13.9143,3916.0,0.567866
567.01,13349647,KP,1.5373643,2458518.50543,2019-04-05 20:18:16,2024-09-07 10:08:02,131.58039,-8.026985,12.212,5959.0,0.959588
571.01,270468559,KP,4.6418435,2458519.462703,2019-04-05 20:18:17,2024-11-25 16:02:01,135.344358,6.097083,11.5598,5743.0,1.41374
574.01,315002523,KP,3.3023907,2459991.488255,2019-04-05 20:18:18,2023-10-17 16:02:02,144.926859,-28.5856,12.4257,6071.0,1.91031
578.01,423275733,KP,2.0528684,2459278.251179,2019-04-05 20:18:19,2021-12-02 16:02:01,140.506316,-23.946102,12.3368,6010.0,1.70948
655.01,35516889,KP,0.7888389,2459304.062715,2019-05-07 15:39:33,2024-09-19 10:08:01,148.416767,-45.659108,11.6044,5568.0,1.0280499
656.01,36734222,KP,0.8134733,2458543.604633,2019-05-07 15:39:33,2024-09-19 10:08:01,154.908187,-9.806443,11.1184,4400.0,0.757649
660.01,53189332,KP,9.2897006,2458544.650778,2019-05-07 15:39:33,2024-09-19 10:08:01,166.429628,-5.079485,10.99,6055.0,1.41549
661.01,53735810,KP,4.0860495,2458544.170492,2019-05-07 15:39:33,2024-09-19 10:08:01,158.22503,-34.989907,11.248,6580.0,1.47741
664.01,55092869,KP,4.7359232,2459988.88442,2019-05-07 15:39:33,2023-04-13 10:10:01,161.706905,-9.399365,7.3212,5370.0,2.7871499
667.01,101955023,KP,1.6289322,2459280.989404,2019-05-07 15:39:33,2021-10-29 12:59:15,153.70907,-47.154936,10.8372,3202.0,0.226407
675.01,169226822,KP,4.1780637,2458543.942051,2019-05-06 19:17:05,2024-11-26 16:02:02,160.558765,-3.834999,9.62959,5620.0,1.34736
683.01,437248515,KP,3.4058895,2459303.595258,2019-05-07 15:39:33,2024-09-19 10:08:01,169.43886,-19.054778,11.4553,6302.0,1.26867
685.01,281731203,KP,11.6332127,2460268.402363,2019-05-07 15:39:33,2024-02-01 16:02:02,163.032312,0.493167,9.9623,5287.7,1.73
744.01,437242640,KP,4.3176859,2460031.706114,2019-05-15 18:24:37,2023-05-11 16:02:02,165.399368,-23.860946,9.7566,5700.0,1.11
747.01,15445551,KP,1.6827917,2458569.66758,2019-06-05 19:57:31,2024-09-19 10:08:01,185.324682,-52.840816,10.349,6271.0,1.56803
748.01,104024556,KP,2.0219583,2460064.168409,2019-06-11 20:03:40,2023-06-28 10:10:02,196.043793,-35.549529,10.3182,7000.0,1.94
750.01,14614418,KP,0.8378453,2458569.538097,2019-06-11 20:03:40,2024-09-19 10:08:01,173.95742,-29.156064,13.3898,5600.0,1.01656
751.01,14661418,KP,4.722816,2458570.990969,2019-06-11 20:03:40,2024-09-19 10:08:01,174.009869,-29.543364,12.4806,4803.0,0.793235
752.01,61538902,KP,5.7481323,2458573.686954,2019-06-11 20:03:40,2024-09-19 10:08:01,176.299052,-42.063958,11.3743,5900.0,1.12783
755.02,73228647,KP,6.7418796,2458576.159251,2024-02-01 22:49:16,2024-02-01 16:02:02,190.036564,-44.312078,9.4628,6003.0,0.986649
766.01,219698950,KP,3.4464529,2458570.564724,2019-06-11 20:03:40,2024-04-25 10:08:01,175.52524,-23.354845,11.5122,5870.0,0.913091
767.01,229047362,KP,3.764873,2458572.990673,2019-06-11 20:03:40,2021-10-29 12:59:15,195.359758,-27.522227,11.2175,5703.0,0.92
769.01,248075138,KP,4.9816784,2459332.02995,2019-06-11 20:03:40,2023-01-25 10:10:01,192.981203,-42.073617,11.3728,5315.0,0.79
770.01,248111245,KP,4.6370479,2459310.764623,2019-06-05 19:57:34,2022-03-30 10:10:02,193.55246,-46.587716,12.3335,6438.0,1.68054
773.01,286865921,KP,4.971298,2459329.250355,2019-06-11 20:03:40,2023-01-25 10:10:01,190.151956,-19.284353,11.5037,5510.0,1.09
774.01,294301883,KP,4.4656306,2458573.614654,2019-06-11 20:03:40,2026-01-15 16:00:02,203.758195,-17.503496,11.3473,6070.0,1.09036
780.01,398943781,KP,3.0524018,2459329.902022,2019-06-11 20:03:40,2023-01-25 10:10:01,190.618803,-30.639818,10.7875,5545.0,0.88
781.01,413376180,KP,1.3541342,2458570.772731,2019-06-11 20:03:40,2024-09-19 10:08:01,176.738826,-22.56301,12.7492,5227.0,0.931471
818.01,46096489,KP,3.118536,2458598.072777,2019-06-17 17:15:50,2024-09-09 10:08:01,214.683011,-20.275437,10.6481,5700.0,0.95
819.01,73717937,KP,16.2546802,2459301.040554,2019-06-17 17:15:50,2023-01-24 16:02:02,192.189568,-47.613679,11.7528,5846.0,1.32
820.01,111991770,KP,3.752062,2458599.445086,2019-06-17 17:15:51,2024-09-09 10:08:01,208.928011,-32.159712,10.4445,6300.0,1.48
822.01,127530399,KP,7.1335149,2458602.855939,2019-06-17 17:15:51,2024-09-09 10:08:01,217.6092,-46.159516,11.1116,4775.0,0.789877
825.01,220029715,KP,3.1853186,2458598.749132,2019-06-17 17:15:52,2024-03-14 16:54:32,208.856746,-21.207859,12.4284,4944.0,0.781959
826.01,243200602,KP,11.5509742,2460063.00836,2019-06-17 17:15:52,2023-06-28 10:10:02,203.106019,-42.475273,10.491,5625.0,1.06
