toi,tid,split,label,disposition,stage1_score,stage2_score
3078.01,443042089,train,0,FP,0.36973661184310913,
3082.01,428699140,train,1,CP,0.5474261045455933,
3085.01,376740324,train,0,FP,0.4893336296081543,
3109.01,120723776,train,0,FP,0.3695911765098572,
3110.01,104022675,train,0,FP,0.497073233127594,
3122.01,61117473,train,0,FP,0.5318940281867981,
3146.01,360816293,train,0,FP,0.42345261573791504,
315.01,66356824,train,0,FP,0.408427357673645,
3153.01,466318137,train,0,FP,0.40820378065109253,
3159.01,449549170,train,0,FP,0.32870590686798096,
3165.01,419858461,train,0,FP,0.5155792832374573,
3174.01,392112968,train,0,FP,0.31769856810569763,
3176.01,389999924,train,0,FP,0.49571147561073303,
3181.01,372596796,train,0,FP,0.44788163900375366,
3189.01,361998994,train,0,FP,0.47135666012763977,
320.01,188593930,train,0,FP,0.4607089161872864,
3205.01,322862882,train,0,FP,0.4681927561759949,
3216.01,306547699,train,0,FP,0.49790075421333313,
3217.01,309436531,train,0,FP,0.3766881823539734,
3218.01,305739565,train,1,CP,0.39517882466316223,
3220.01,304950588,train,0,FP,0.41666582226753235,
3221.01,303883880,train,0,FP,0.4661611020565033,
3235.01,243641947,train,1,CP,0.45024463534355164,
3261.01,358070912,train,1,CP,0.4816214144229889,
329.01,169765334,train,1,CP,0.5287474393844604,
3290.01,31697707,train,0,FP,0.502366304397583,
3306.01,369861731,train,0,FP,0.39052993059158325,
331.01,262531275,train,0,FP,0.38202279806137085,
3311.01,337274055,train,0,FP,0.5432493090629578,
3313.01,327210623,train,0,FP,0.49421823024749756,
3319.01,310267134,train,0,FP,0.39003705978393555,
332.01,139285832,train,1,CP,0.5426249504089355,
3321.01,306648160,train,1,CP,0.5490435361862183,
333.01,224245334,train,1,CP,0.5403180718421936,
3331.01,194795551,train,1,CP,0.33134356141090393,
3332.01,194179013,train,0,FP,0.4946821331977844,
3343.01,58046864,train,0,FP,0.4663351774215698,
3347.01,131581531,train,0,FP,0.5112019181251526,
3353.01,391903064,train,1,CP,0.5178739428520203,
3357.01,412259468,train,0,FP,0.47259560227394104,
3358.01,146244533,train,0,FP,0.5186907649040222,
336.01,55452495,train,0,FP,0.465745210647583,
3362.01,464300749,train,1,CP,0.5114914774894714,
3364.01,280655495,train,1,CP,0.617604672908783,
3379.01,130191319,train,0,FP,0.5207992196083069,
3381.01,129881395,train,0,FP,0.4809618592262268,
3385.01,175079720,train,0,FP,0.4778619110584259,
3389.01,419419534,train,0,FP,0.49395951628685,
3408.01,7904580,train,0,FP,0.4890606701374054,
342.01,415969574,train,0,FP,0.36696383357048035,
3435.01,238162973,train,0,FP,0.5209856629371643,
349.01,382474101,train,0,FP,0.5280248522758484,
3503.01,459850897,train,0,FP,0.3899092674255371,
3504.01,117689799,train,0,FP,0.45655399560928345,
3507.01,86451883,train,0,FP,0.5328570604324341,
3508.01,278968371,train,0,FP,0.4641890823841095,
3512.01,40779013,train,0,FP,0.4860798120498657,
3524.01,106224626,train,0,FP,0.47156402468681335,
3525.01,373576942,train,0,FP,0.43414559960365295,
3526.01,89876424,train,0,FP,0.3774415850639343,
3528.01,67247610,train,0,FP,0.4055374264717102,
3536.01,27844066,train,0,FP,0.45113787055015564,
3537.01,294599100,train,0,FP,0.4783160388469696,
3540.01,17865622,train,1,CP,0.3614124655723572,
3541.01,291147951,train,0,FP,0.39095500111579895,
